Time,Abstich GOK
2025-01-17 16:00:00,3.26 mm
2025-01-17 19:00:00,3.30 mm
2025-01-17 22:00:00,3.40 mm
2025-01-18 04:00:00,3.56 mm
2025-01-18 07:00:00,3.54 mm
2025-01-18 10:00:00,3.39 mm
2025-01-18 16:00:00,3.48 mm
2025-01-18 19:00:00,3.51 mm
2025-01-18 22:00:00,3.47 mm
2025-01-19 04:00:00,3.61 mm
2025-01-19 07:00:00,3.63 mm
2025-01-19 10:00:00,3.57 mm
2025-01-19 16:00:00,3.68 mm
2025-01-19 19:00:00,3.61 mm
2025-01-19 22:00:00,3.62 mm
2025-01-20 04:00:00,3.60 mm
2025-01-20 07:00:00,3.47 mm
2025-01-20 10:00:00,3.32 mm
2025-01-20 16:00:00,3.22 mm
2025-01-20 19:00:00,3.10 mm
2025-01-20 22:00:00,2.91 mm
2025-01-21 04:00:00,2.88 mm
2025-01-21 07:00:00,2.67 mm
2025-01-21 10:00:00,2.43 mm
2025-01-21 16:00:00,2.52 mm
2025-01-21 19:00:00,2.62 mm
2025-01-21 22:00:00,2.85 mm
2025-01-22 04:00:00,2.78 mm
2025-01-22 07:00:00,3.14 mm
2025-01-22 10:00:00,3.12 mm
2025-01-22 16:00:00,2.98 mm
2025-01-22 19:00:00,2.94 mm
2025-01-22 22:00:00,3.38 mm
2025-01-23 04:00:00,7.65 mm
2025-01-23 07:00:00,11.60 mm
2025-01-23 10:00:00,13.41 mm
2025-01-23 16:00:00,12.26 mm
2025-01-23 19:00:00,10.97 mm
2025-01-23 22:00:00,11.56 mm
2025-01-24 04:00:00,11.75 mm
2025-01-24 07:00:00,11.29 mm
2025-01-24 10:00:00,10.91 mm
2025-01-24 16:00:00,12.74 mm
2025-01-24 19:00:00,16.22 mm
2025-01-24 22:00:00,15.68 mm
2025-01-25 04:00:00,15.94 mm
2025-01-25 07:00:00,23.04 mm
2025-01-25 10:00:00,29.27 mm
2025-01-25 16:00:00,29.81 mm
2025-01-25 19:00:00,28.84 mm
2025-01-26 04:00:00,30.71 mm
2025-01-26 07:00:00,31.26 mm
2025-01-26 10:00:00,31.04 mm
2025-01-26 19:00:00,30.49 mm
2025-01-27 07:00:00,32.07 mm
2025-01-27 10:00:00,33.64 mm
2025-01-27 16:00:00,32.77 mm
2025-01-27 19:00:00,31.63 mm
2025-01-27 22:00:00,31.02 mm
2025-01-28 04:00:00,30.56 mm
2025-01-28 07:00:00,29.76 mm
2025-01-28 16:00:00,28.43 mm
2025-01-28 19:00:00,28.13 mm
2025-01-28 22:00:00,27.49 mm
2025-01-29 04:00:00,27.33 mm
2025-01-29 10:00:00,33.72 mm
2025-01-29 16:00:00,32.30 mm
2025-01-29 19:00:00,28.99 mm
2025-01-29 22:00:00,28.90 mm
2025-01-30 07:00:00,28.12 mm
2025-01-30 22:00:00,33.46 mm
2025-01-31 04:00:00,32.84 mm
2025-01-31 10:00:00,31.64 mm
2025-01-31 16:00:00,30.86 mm
2025-01-31 19:00:00,29.78 mm
2025-01-31 22:00:00,28.96 mm
2025-02-01 04:00:00,28.36 mm
2025-02-01 07:00:00,28.04 mm
2025-02-01 10:00:00,29.06 mm
2025-02-01 16:00:00,27.92 mm
2025-02-01 22:00:00,26.80 mm
2025-02-02 04:00:00,26.74 mm
2025-02-02 07:00:00,26.52 mm
2025-02-02 10:00:00,28.14 mm
2025-02-02 19:00:00,25.98 mm
2025-02-02 22:00:00,24.97 mm
2025-02-03 04:00:00,25.12 mm
2025-02-03 07:00:00,24.43 mm
2025-02-03 10:00:00,24.53 mm
2025-02-03 16:00:00,24.08 mm
2025-02-03 19:00:00,23.79 mm
2025-02-03 22:00:00,22.94 mm
2025-02-04 04:00:00,22.95 mm
2025-02-04 07:00:00,22.01 mm
2025-02-04 10:00:00,22.73 mm
2025-02-04 16:00:00,22.05 mm
2025-02-04 19:00:00,22.03 mm
2025-02-04 22:00:00,21.28 mm
2025-02-05 04:00:00,21.06 mm
2025-02-05 07:00:00,20.51 mm
2025-02-05 10:00:00,20.21 mm
2025-02-05 16:00:00,19.97 mm
2025-02-05 19:00:00,19.81 mm
2025-02-05 22:00:00,19.56 mm
2025-02-06 04:00:00,19.31 mm
2025-02-06 07:00:00,19.16 mm
2025-02-06 10:00:00,18.59 mm
2025-02-06 16:00:00,18.58 mm
2025-02-06 19:00:00,18.62 mm
2025-02-06 22:00:00,18.69 mm
2025-02-07 04:00:00,18.57 mm
2025-02-07 07:00:00,18.24 mm
2025-02-07 10:00:00,18.08 mm
2025-02-07 16:00:00,18.20 mm
2025-02-07 19:00:00,18.18 mm
2025-02-07 22:00:00,18.09 mm
2025-02-08 04:00:00,18.25 mm
2025-02-08 10:00:00,17.17 mm
2025-02-08 16:00:00,16.86 mm
2025-02-08 19:00:00,17.08 mm
2025-02-08 22:00:00,16.91 mm
2025-02-09 04:00:00,16.85 mm
2025-02-09 07:00:00,16.56 mm
2025-02-09 10:00:00,15.76 mm
2025-02-09 16:00:00,15.40 mm
2025-02-09 19:00:00,15.29 mm
2025-02-09 22:00:00,15.14 mm
2025-02-10 04:00:00,15.00 mm
2025-02-10 07:00:00,15.05 mm
2025-02-10 10:00:00,14.36 mm
2025-02-11 04:00:00,14.92 mm
2025-02-11 07:00:00,22.16 mm
2025-02-11 10:00:00,22.34 mm
2025-02-11 16:00:00,22.16 mm
2025-02-11 19:00:00,21.84 mm
2025-02-11 22:00:00,21.72 mm
2025-02-12 04:00:00,21.64 mm
2025-02-12 07:00:00,21.49 mm
2025-02-12 10:00:00,21.17 mm
2025-02-12 16:00:00,21.06 mm
2025-02-12 22:00:00,20.63 mm
2025-02-13 04:00:00,20.51 mm
2025-02-13 07:00:00,20.58 mm
2025-02-13 10:00:00,20.24 mm
2025-02-13 16:00:00,20.66 mm
2025-02-13 19:00:00,20.16 mm
2025-02-13 22:00:00,19.89 mm
2025-02-14 04:00:00,19.57 mm
2025-02-14 07:00:00,19.19 mm
2025-02-14 10:00:00,18.78 mm
2025-02-14 16:00:00,18.76 mm
2025-02-14 19:00:00,18.70 mm
2025-02-14 22:00:00,18.60 mm
2025-02-15 04:00:00,18.62 mm
2025-02-15 07:00:00,18.43 mm
2025-02-15 10:00:00,18.03 mm
2025-02-15 16:00:00,18.10 mm
2025-02-15 19:00:00,18.18 mm
2025-02-15 22:00:00,17.72 mm
2025-02-16 04:00:00,17.90 mm
2025-02-16 07:00:00,17.30 mm
2025-02-16 10:00:00,17.76 mm
2025-02-16 16:00:00,16.79 mm
2025-02-16 19:00:00,16.56 mm
2025-02-16 22:00:00,16.20 mm
2025-02-17 04:00:00,16.03 mm
2025-02-17 07:00:00,15.99 mm
2025-02-17 10:00:00,16.07 mm
2025-02-17 16:00:00,15.28 mm
2025-02-17 19:00:00,14.48 mm
2025-02-17 22:00:00,15.08 mm
2025-02-18 04:00:00,14.98 mm
2025-02-18 07:00:00,14.43 mm
2025-02-18 10:00:00,13.42 mm
2025-02-18 16:00:00,13.42 mm
2025-02-18 19:00:00,13.02 mm
2025-02-18 22:00:00,12.82 mm
2025-02-19 04:00:00,13.00 mm
2025-02-19 07:00:00,12.68 mm
2025-02-19 10:00:00,10.91 mm
2025-02-19 16:00:00,11.51 mm
2025-02-19 19:00:00,11.18 mm
2025-02-19 22:00:00,11.11 mm
2025-02-20 04:00:00,11.16 mm
2025-02-20 07:00:00,10.16 mm
2025-02-20 10:00:00,9.73 mm
2025-02-20 16:00:00,10.06 mm
2025-02-20 22:00:00,10.03 mm
2025-02-21 04:00:00,10.17 mm
2025-02-21 07:00:00,10.17 mm
2025-02-21 10:00:00,9.75 mm
2025-02-21 16:00:00,9.42 mm
2025-02-21 19:00:00,9.92 mm
2025-02-21 22:00:00,9.96 mm
2025-02-22 04:00:00,10.86 mm
2025-02-22 07:00:00,10.44 mm
2025-02-22 10:00:00,9.71 mm
2025-02-22 16:00:00,9.61 mm
2025-02-22 19:00:00,9.38 mm
2025-02-22 22:00:00,10.49 mm
2025-02-23 04:00:00,9.42 mm
2025-02-23 07:00:00,8.52 mm
2025-02-23 10:00:00,9.29 mm
2025-02-23 19:00:00,8.37 mm
2025-02-23 22:00:00,7.43 mm
2025-02-24 04:00:00,7.38 mm
2025-02-24 10:00:00,7.86 mm
2025-02-24 16:00:00,8.45 mm
2025-02-24 19:00:00,8.94 mm
2025-02-24 22:00:00,8.63 mm
2025-02-25 04:00:00,8.67 mm
2025-02-25 10:00:00,8.12 mm
2025-02-25 16:00:00,8.32 mm
2025-02-25 19:00:00,8.20 mm
2025-02-25 22:00:00,7.92 mm
2025-02-26 04:00:00,7.69 mm
2025-02-26 10:00:00,8.67 mm
2025-02-26 16:00:00,8.48 mm
2025-02-26 19:00:00,8.06 mm
2025-02-26 22:00:00,7.29 mm
2025-02-27 04:00:00,8.15 mm
2025-02-27 07:00:00,9.74 mm
2025-02-27 10:00:00,10.62 mm
2025-02-27 16:00:00,11.70 mm
2025-02-27 19:00:00,10.59 mm
2025-02-27 22:00:00,12.76 mm
2025-02-28 04:00:00,14.32 mm
2025-02-28 07:00:00,14.44 mm
2025-02-28 10:00:00,14.21 mm
2025-02-28 16:00:00,14.03 mm
2025-02-28 19:00:00,13.35 mm
2025-02-28 22:00:00,12.75 mm
2025-03-01 04:00:00,12.44 mm
2025-03-01 07:00:00,12.07 mm
2025-03-01 10:00:00,11.65 mm
2025-03-01 19:00:00,11.40 mm
2025-03-01 22:00:00,11.25 mm
2025-03-02 04:00:00,11.04 mm
2025-03-02 07:00:00,10.57 mm
2025-03-02 10:00:00,10.85 mm
2025-03-02 16:00:00,10.21 mm
2025-03-02 19:00:00,10.31 mm
2025-03-02 22:00:00,10.16 mm
2025-03-03 04:00:00,9.98 mm
2025-03-03 07:00:00,9.55 mm
2025-03-03 16:00:00,8.93 mm
2025-03-03 19:00:00,9.32 mm
2025-03-03 22:00:00,9.01 mm
2025-03-04 04:00:00,8.68 mm
2025-03-04 07:00:00,8.02 mm
2025-03-04 10:00:00,8.29 mm
2025-03-04 16:00:00,7.89 mm
2025-03-04 19:00:00,8.08 mm
